Entity,Code,Date,people_vaccinated_per_hundred
District of Columbia,,2021-03-03,18.63
District of Columbia,,2021-03-04,19.17
District of Columbia,,2021-03-05,19.54
District of Columbia,,2021-03-06,19.98
District of Columbia,,2021-03-07,20.48
District of Columbia,,2021-03-08,14.25
District of Columbia,,2021-03-09,14.51
Federated States of Micronesia,,2021-01-12,0.4
Federated States of Micronesia,,2021-01-13,0.54
Federated States of Micronesia,,2021-01-14,0.58
Federated States of Micronesia,,2021-01-15,0.67
Federated States of Micronesia,,2021-01-19,1.38
Federated States of Micronesia,,2021-01-20,1.69
Federated States of Micronesia,,2021-01-21,2.01
Federated States of Micronesia,,2021-01-22,2.42
Federated States of Micronesia,,2021-01-23,2.65
Federated States of Micronesia,,2021-01-24,2.65
Federated States of Micronesia,,2021-01-25,2.66
Federated States of Micronesia,,2021-01-26,2.87
Federated States of Micronesia,,2021-01-27,3.1
Federated States of Micronesia,,2021-01-28,3.35
Federated States of Micronesia,,2021-01-29,3.79
Federated States of Micronesia,,2021-01-30,3.79
Federated States of Micronesia,,2021-01-31,3.79
Federated States of Micronesia,,2021-02-01,4.89
Federated States of Micronesia,,2021-02-02,5.48
Federated States of Micronesia,,2021-02-03,5.99
Federated States of Micronesia,,2021-02-04,6.41
Federated States of Micronesia,,2021-02-05,6.7
Federated States of Micronesia,,2021-02-06,6.98
Federated States of Micronesia,,2021-02-07,7.05
Federated States of Micronesia,,2021-02-08,7.05
Federated States of Micronesia,,2021-02-09,7.28
Federated States of Micronesia,,2021-02-10,7.47
Federated States of Micronesia,,2021-02-11,7.71
Federated States of Micronesia,,2021-02-12,7.98
Federated States of Micronesia,,2021-02-13,8.14
Federated States of Micronesia,,2021-02-14,8.2
Federated States of Micronesia,,2021-02-16,8.51
Federated States of Micronesia,,2021-02-17,8.8
Federated States of Micronesia,,2021-02-18,8.99
Federated States of Micronesia,,2021-02-19,9.14
Federated States of Micronesia,,2021-02-20,9.14
Federated States of Micronesia,,2021-02-21,9.37
Federated States of Micronesia,,2021-02-22,9.37
Federated States of Micronesia,,2021-02-23,9.37
Federated States of Micronesia,,2021-02-24,9.7
Federated States of Micronesia,,2021-02-25,9.84
Federated States of Micronesia,,2021-02-26,9.94
Federated States of Micronesia,,2021-02-27,10.12
Federated States of Micronesia,,2021-02-28,10.14
Federated States of Micronesia,,2021-03-01,10.15
Federated States of Micronesia,,2021-03-02,10.3
Federated States of Micronesia,,2021-03-03,10.39
Federated States of Micronesia,,2021-03-04,10.43
Federated States of Micronesia,,2021-03-05,10.63
Federated States of Micronesia,,2021-03-06,10.78
Federated States of Micronesia,,2021-03-07,10.85
Federated States of Micronesia,,2021-03-08,10.96
Federated States of Micronesia,,2021-03-09,11.1
Florida,,2021-01-12,2.73
Florida,,2021-01-13,3.01
Florida,,2021-01-14,3.3
Florida,,2021-01-15,3.62
Florida,,2021-01-19,4.98
Florida,,2021-01-20,5.24
Florida,,2021-01-21,5.24
Florida,,2021-01-22,5.53
Florida,,2021-01-23,6.21
Florida,,2021-01-24,6.45
Florida,,2021-01-25,6.45
Florida,,2021-01-26,6.58
Florida,,2021-01-27,6.76
Florida,,2021-01-28,6.97
Florida,,2021-01-29,7.24
